Player;Pos;Comp;Shots;PasTotPrgDist;Assists;SCA;Tkl+Int;ToAtt
cedric brunner;DF;Bundesliga;0.38;244.8;0.0;1.33;3.48;0.51
andreas bruus;DFFW;Ligue 1;0.35;148.6;0.18;2.12;1.86;2.12
ante budimir;FW;La Liga;2.92;14.1;0.0;1.88;1.15;1.25
emi buendia;MFFW;Premier League;2.21;140.7;0.0;3.38;3.31;1.99
hugo bueno;DF;Premier League;0.42;144.7;0.1;2.08;3.54;2.19
santiago bueno;DF;La Liga;0.55;346.0;0.05;0.75;2.96;0.2
marius bulter;FWMF;Bundesliga;1.99;85.3;0.0;3.19;1.2;2.35
cristian buonaiuto;MFFW;Serie A;4.14;154.8;0.0;5.86;3.79;4.66
alessandro buongiorno;DF;Serie A;0.83;209.0;0.0;0.76;3.69;0.57
jonathan burkardt;MFFW;Bundesliga;3.39;53.7;0.34;3.39;0.68;3.39
dan burn;DF;Premier League;0.53;255.5;0.0;0.97;2.14;0.53
maxime busi;DF;Ligue 1;0.44;228.7;0.15;1.62;3.24;2.79
sergio busquets;MF;La Liga;0.28;305.7;0.07;2.41;3.72;0.48
remy cabella;MFFW;Ligue 1;1.58;261.4;0.45;6.84;3.16;2.11
jimmy cabot;DFMF;Ligue 1;0.88;267.9;0.18;5.44;4.21;4.21
leandro cabrera;DF;La Liga;0.77;310.1;0.0;1.04;2.57;0.0
anthony caci;DF;Bundesliga;0.51;360.2;0.08;2.46;5.51;0.68
moises caicedo;MF;Premier League;0.73;225.5;0.05;2.24;4.58;0.99
jens cajuste;MF;Ligue 1;1.37;180.4;0.11;2.95;5.05;2.84
davide calabria;DF;Serie A;0.63;341.4;0.18;1.62;6.04;0.72
mattia caldara;DF;Serie A;0.74;220.8;0.0;0.46;3.06;0.46
luca caldirola;DF;Serie A;0.34;362.0;0.0;0.55;1.92;0.07
fernando calero;DFMF;La Liga;0.31;249.8;0.0;0.84;3.28;0.08
duje ?aleta-car;DF;Premier League;0.38;321.99;0.0;0.49;2.97;0.0
hakan calhanoðlu;MF;Serie A;1.65;262.9;0.29;4.35;3.18;0.76
dominic calvert-lewin;FW;Premier League;1.98;21.6;0.0;1.6;0.49;2.22
mahdi camara;MF;Ligue 1;1.02;107.0;0.0;1.72;4.77;1.8
mohamed camara;MF;Ligue 1;1.04;258.1;0.13;1.95;4.74;2.01
eduardo camavinga;MFDF;La Liga;1.18;245.3;0.1;4.51;3.82;3.33
nicolo cambiaghi;FWMF;Serie A;2.93;84.3;0.17;4.31;3.28;3.45
andrea cambiaso;DF;Serie A;0.55;236.6;0.16;2.19;3.98;2.5
sergio camello;FW;La Liga;2.58;19.7;0.19;2.08;0.69;1.7
emre can;MF;Bundesliga;0.62;272.1;0.0;1.36;4.57;1.11
sergio canales;FWMF;La Liga;1.54;174.4;0.06;3.95;1.67;1.67
joao cancelo;DF;Premier League;1.15;291.61;0.13;2.81;3.44;4.33
